complaint_year,month_number,date_reported,arrest_date,borough,county,offense_category,offense_description,police_description,bias_motive,offense_category,
2019,9,09/12/2019,01/22/2020,BROOKLYN,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,9,09/12/2019,01/22/2020,BROOKLYN,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,1,01/24/2019,,BROOKLYN,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,5,05/23/2019,,BROOKLYN,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,BKLYN NORTH
2019,12,12/04/2019,,BROOKLYN,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,1,01/03/2019,,BROOKLYN,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,3,03/21/2019,,BROOKLYN,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-BLACK,Race/Color,BKLYN NORTH
2019,10,10/13/2019,,BROOKLYN,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,8,08/12/2019,,BROOKLYN,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEHOVAHS WITNESS,Religion/Religious Practice,BKLYN NORTH
2019,12,12/12/2019,,BROOKLYN,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,7,07/09/2019,,BROOKLYN,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-LGBT (MIXED GROUP),Sexual Orientation,BKLYN NORTH
2019,4,04/26/2019,,BROOKLYN,NEW YORK,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,4,04/21/2019,,BROOKLYN,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,9,09/04/2019,,BROOKLYN,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,BKLYN NORTH
2019,3,03/07/2019,,BROOKLYN,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,4,04/04/2019,,BROOKLYN,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,10,10/24/2019,,BROOKLYN,BRONX,INVESTIGATION,INVESTIGATIONS/COMPLAINTS ONLY,INVESTIGATE CHILD ABUSE,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,1,01/23/2019,,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
